id,CUADERNO,FAMILIA,SUBFAMILIA,G?NERO Y AUTOR,G?NERO,SUBG?NERO,ESPECIE,AUTOR,ESPECIE_ACEPTADA,SIN?NIMO,GRUPO,SUBESPECIE,AUTOR_SUBESPECIE,NUM_EJEMPLARES,SEXO,OBRERA,T?GULA_MM,D?A,MES,A?O,LOCALIDAD,PROVINCIA,COLECTOR,DETERMINADOR,comentarios_adicionales,en_qu?_planta,dudas,respuestas,nidos,localidades?,COLECCI?N_DEP?SITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,RUBICOLA,P?rez,NA,NA,NA,NA,NA,1,m,NA,0.5,2,7,1982,Corchuela,Toledo,E. Asensio,Van Der Zanden,NA,NA,NA,NA,NA,NA,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,RUBICOLA,P?rez,NA,NA,NA,NA,NA,1,m,NA,NA,23,6,1985,Azuaga,Badajoz,E. Asensio,Asensio,Devolv? a Universidad Salamanca,NA,NA,NA,NA,NA,UNIVERSIDAD SALAMANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,RUBICOLA,P?rez,NA,NA,NA,NA,NA,1,h,NA,0.5,25,6,1985,La Bazana,Badajoz,S. Fdez. Gayubo (Univ. Salamanca) ,Asensio,(Univ. Sal.),NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,h,NA,NA,NA,NA,1970,"nidos ""El Barcial"", Toro",Zamora,E. Asensio,Asensio,nidos,NA,NA,NA,NA,"Catal., B, Z, SG, T, Espa?a",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,8,h,NA,NA,NA,NA,1971,"nidos ""El Barcial"", Toro",Zamora,E. Asensio,Asensio,nidos,NA,NA,NA,NA,NA,D. P?REZ CARDENAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,6,m,NA,NA,NA,NA,1971,"nidos ""El Barcial"", Toro",Zamora,E. Asensio,Asensio,nidos,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,m,NA,0.4,NA,NA,1971,"nidos ""El Barcial"", Toro",Zamora,E. Asensio,Asensio,nidos,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,m,NA,1,26,7,1972,Tapia de Casariego,Oviedo,"E. Asensio, Santos",Asensio,NA,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,3,h,NA,NA,19,7,1975,Mojados,Valladolid,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,2,m,NA,1,19,7,1975,Mojados,Valladolid,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,m,NA,0.9,23,7,1975,La Alberca,Salamanca,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,m,NA,1,29,6,1977,Toro,Zamora,E. Asensio,Van Der Zanden,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,m,NA,1,NA,NA,1980,Valladolid,Valladolid,E. Asensio,Van Der Zanden,nidos,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,h,NA,1,29,6,1982,Toro,Zamora,E. Asensio,Van Der Zanden,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,m,NA,NA,4,7,1982,Paredes de Nava,Palencia,E. Asensio,Van Der Zanden,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,h,NA,1,27,7,1983,Toro,Zamora,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,1,h,NA,1,27,7,1983,Toro,Zamora,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,TRUNCORUM,Spinola,NA,NA,NA,NA,NA,2,m,NA,NA,27,7,1983,Toro,Zamora,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,D,MEGACHILIDAE,MEGACHILINAE,CHELOSTOMA Latreille 1809,CHELOSTOMA,NA,APPENDICULATUM,Morawitz,"FLORISOMNE Linnaeus,1758",NA,NA,NA,NA,1,h,NA,NA,30,4,1976,Valero,Salamanca,E. Asensio,Tkalcu,Devolv? a Universidad Salamanca,NA,NA,NA,NA,NA,UNIVERSIDAD SALAMANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,D,MEGACHILIDAE,MEGACHILINAE,CHELOSTOMA Latreille 1809,CHELOSTOMA,NA,APPENDICULATUM,Morawitz,"FLORISOMNE Linnaeus,1758",NA,NA,NA,NA,1,h,NA,1.3,NA,NA,1981,Valladolid,Valladolid,E. Asensio,Van Der Zanden,NA,NA,NA,NA,NA,NA,D. P?REZ CARDENAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,D,MEGACHILIDAE,MEGACHILINAE,CHELOSTOMA Latreille 1809,CHELOSTOMA,NA,APPENDICULATUM,Morawitz,"FLORISOMNE Linnaeus,1758",NA,NA,NA,NA,1,m,NA,1.2,75,5,1983,La Fregeneda,Salamanca,M. J. Novo ,Tkalcu,(Univ. Sal.),NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
