"locality","gen_sp","freq","when"
"vilalba","Anthophora_aestivalis",2,"asensio"
"vilalba","Anthophora_aestivalis",3,"asensio"
"vilalba","Anthophora_acervorum",2,"asensio"
"vilalba","Melecta_luctuosa",1,"asensio"
"vilalba","Tetralonia_berlandi",1,"asensio"
"zamaduenas","Anthophora_sp b",1,"asensio"
"zamaduenas","Andrena_hesperia",1,"asensio"
"zamaduenas","Nomada_pusilla",1,"asensio"
"zamaduenas","Nomada_fucata",3,"asensio"
"zamaduenas","Nomada_pusilla",1,"asensio"
"zamaduenas","Ceratina_callosa",1,"asensio"
"zamaduenas","Eucera_trivittata",1,"asensio"
"zamaduenas","Andrena_alfkenella",1,"asensio"
"zamaduenas","Lasioglossum_villosulum",1,"asensio"
"zamaduenas","Andrena_flavipes",1,"asensio"
"zamaduenas","Sphecodes_monilicornis",3,"asensio"
"zamaduenas","Andrena_longibarbis",1,"asensio"
"zamaduenas","Nomada_distinguenda",1,"asensio"
"zamaduenas","Nomada_discrepans",1,"asensio"
"zamaduenas","Sphecodes_ruficrus",1,"asensio"
"zamaduenas","Andrena_assimilis",2,"asensio"
"zamaduenas","Eucera_nigrilabris",6,"asensio"
"zamaduenas","Anthophora_sp a",1,"asensio"
"zamaduenas","Lasioglossum_pseudoplanulum",3,"asensio"
"zamaduenas","Ceratina_callosa",2,"asensio"
"zamaduenas","Andrena_ferrugineicrus",1,"asensio"
"zamaduenas","Lasioglossum_pseudoplanulum",1,"asensio"
"zamaduenas","Nomada_fucata",1,"asensio"
"zamaduenas","Andrena_flavipes",1,"asensio"
"zamaduenas","Andrena_obsoleta",2,"asensio"
"zamaduenas","Andrena_verticalis",1,"asensio"
"zamaduenas","Andrena_flavipes",1,"asensio"
"zamaduenas","Lasioglossum_minutissimum",1,"asensio"
"zamaduenas","Sphecodes_spinulosus",1,"asensio"
"zamaduenas","Lasioglossum_callizonium",1,"asensio"
"zamaduenas","Panurginus_albopilosus",1,"asensio"
"zamaduenas","Andrena_tenuistriata",1,"asensio"
"zamaduenas","Lasioglossum_leucozonium",1,"asensio"
"zamaduenas","Andrena_florea",1,"asensio"
"zamaduenas","Osmia_acuticornis",1,"asensio"
"zamaduenas","Systropha_planidens",1,"asensio"
"zamaduenas","Eucera_cineraria",1,"asensio"
"zamaduenas","Andrena_morio",1,"asensio"
"zamaduenas","Lasioglossum_malachurum",1,"asensio"
"zamaduenas","Anthophora_atroalba",1,"asensio"
"zamaduenas","Andrena_flavipes",2,"asensio"
"zamaduenas","Sphecodes_monilicornis",1,"asensio"
"zamaduenas","Lasioglossum_pauperatum",1,"asensio"
"zamaduenas","Andrena_verticalis",2,"asensio"
"zamaduenas","Lasioglossum_malachurum",1,"asensio"
"zamaduenas","Anthophora_atroalba",6,"asensio"
"zamaduenas","Andrena_spreta",2,"asensio"
"zamaduenas","Andrena_aeneiventris",4,"asensio"
"zamaduenas","Andrena_thoracica",1,"asensio"
"zamaduenas","Eucera_nigrilabris",1,"asensio"
"zamaduenas","Sphecodes_puncticeps",3,"asensio"
"zamaduenas","Andrena_flavipes",1,"asensio"
"zamaduenas","Andrena_taraxaci",2,"asensio"
"zamaduenas","Andrena_lepida",1,"asensio"
"zamaduenas","Heriades_crenulatus",1,"asensio"
"zamaduenas","Andrena_dorsata",2,"asensio"
"zamaduenas","Andrena_niveata",1,"asensio"
"zamaduenas","Anthophora_agama",1,"asensio"
"zamaduenas","Lasioglossum_villosulum",1,"asensio"
"zamaduenas","Andrena_thoracica",1,"asensio"
"zamaduenas","Lasioglossum_nigripes",1,"asensio"
"zamaduenas","Andrena_verticalis",1,"asensio"
"zamaduenas","Andrena_verticalis",2,"asensio"
"zamaduenas","Andrena_ferrugineicrus",1,"asensio"
"zamaduenas","Anthophora_senescens",4,"asensio"
"zamaduenas","Eucera_nigrilabris",3,"asensio"
"zamaduenas","Andrena_albopunctata",1,"asensio"
"zamaduenas","Lasioglossum_subaenescens",1,"asensio"
"zamaduenas","Andrena_exigua",1,"asensio"
"zamaduenas","Andrena_carbonaria",2,"asensio"
"zamaduenas","Lasioglossum_malachurum",1,"asensio"
"zamaduenas","Andrena_ovatula",2,"asensio"
"zamaduenas","Panurginus_albopilosus",1,"asensio"
"zamaduenas","Andrena_carbonaria",2,"asensio"
"zamaduenas","Sphecodes?_marginatus",1,"asensio"
"zamaduenas","Andrena_spreta",1,"asensio"
"zamaduenas","Nomada_pusilla",5,"asensio"
"zamaduenas","Andrena_morio",1,"asensio"
"zamaduenas","Andrena_cinerea",2,"asensio"
"zamaduenas","Eucera_pulveracea",2,"asensio"
"zamaduenas","Andrena_longibarbis",1,"asensio"
"zamaduenas","Sphecodes_monilicornis",1,"asensio"
"zamaduenas","Nomada_bifasciata",1,"asensio"
"zamaduenas","Andrena_flavipes",1,"asensio"
"zamaduenas","Lasioglossum_xanthopum",1,"asensio"
"zamaduenas","Andrena_carbonaria",1,"asensio"
"zamaduenas","Andrena_aeneiventris",5,"asensio"
"zamaduenas","Andrena_ferrugineicrus",2,"asensio"
"zamaduenas","Lasioglossum_villosulum",1,"asensio"
"zamaduenas","Lasioglossum_pauperatum",2,"asensio"
"zamaduenas","Andrena_flavipes",4,"asensio"
"zamaduenas","Nomada_fucata",2,"asensio"
"zamaduenas","Andrena_taraxaci",1,"asensio"
"zamaduenas","Andrena_minutuloides",1,"asensio"
"zamaduenas","Lasioglossum_politum",1,"asensio"
"zamaduenas","Lasioglossum_pauperatum",1,"asensio"
"zamaduenas","Andrena_dorsata",2,"asensio"
"zamaduenas","Eucera_nigrilabris",2,"asensio"
"zamaduenas","Lasioglossum_pauperatum",1,"asensio"
"zamaduenas","Eucera_nigrilabris",1,"asensio"
"zamaduenas","Sphecodes_ruficrus",1,"asensio"
"zamaduenas","Dioxys_cincta",1,"asensio"
"zamaduenas","Lasioglossum_aeratum",1,"asensio"
"zamaduenas","Ceratina_chalybea",2,"asensio"
"zamaduenas","Andrena_aeneiventris",1,"asensio"
"zamaduenas","Andrena_flavipes",5,"asensio"
"zamaduenas","Andrena_hystrix",1,"asensio"
"zamaduenas","Andrena_albopunctata",1,"asensio"
"zamaduenas","Andrena_ferrugineicrus",1,"asensio"
"zamaduenas","Andrena_verticalis",2,"asensio"
"zamaduenas","Lasioglossum_interruptum",1,"asensio"
"zamaduenas","Panurgus_calcaratus",1,"asensio"
"zamaduenas","Sphecodes_ferruginatus",1,"asensio"
"zamaduenas","Ceratina_callosa",1,"asensio"
"zamaduenas","Lasioglossum_minutissimum",3,"asensio"
"zamaduenas","Lasioglossum_subhirtum",2,"asensio"
"zamaduenas","Eucera_nigrilabris",1,"asensio"
"zamaduenas","Lasioglossum_pseudoplanulum",2,"asensio"
"zamaduenas","Andrena_ferrugineicrus",2,"asensio"
"zamaduenas","Lasioglossum_malachurum",2,"asensio"
"zamaduenas","Anthophora_atroalba",2,"asensio"
"zamaduenas","Andrena_longibarbis",2,"asensio"
"zamaduenas","Andrena_flavipes",1,"asensio"
"zamaduenas","Nomada_bifasciata",1,"asensio"
"zamaduenas","Nomada_bifasciata",1,"asensio"
"zamaduenas","Panurgus_perezi",1,"asensio"
"zamaduenas","Eucera_clypeata",1,"asensio"
"zamaduenas","Anthophora_leucophaea",1,"asensio"
"zamaduenas","Anthophora_agama",1,"asensio"
"zamaduenas","Lasioglossum_discum",1,"asensio"
"zamaduenas","Andrena_lagopus",1,"asensio"
"zamaduenas","Sphecodes_longulus",1,"asensio"
"zamaduenas","Coelioxys_inermis",1,"asensio"
