Accession No,Barcode,Order,Family,species,species_old,Preferred_Name,locality,collector,date_origional,date_mod,day,month,month_chr,year,date_chr,date,Determiner,Specimen Type,collection,method
NZAC04096177,NZAC04096177,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Christchurch, Dallington",E.S. Gourlay,29.11.1920,11.12.2851,29,11,November,1920,29/November/1920,29/11/1920,B.J. Donovan,Pin,NZAC,no_data
NZAC04096176,NZAC04096176,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Ohakune,J.W. Campbell,10.12.1920,10.12.20,10,12,December,1920,10/December/1920,10/12/1920,B.J. Donovan,Pin,NZAC,no_data
NZAC04096317,NZAC04096317,Hymenoptera,Colletidae,Leioproctus boltoni,Leioproctus boltoni,"Leioproctus (Leioproctus) boltoni Cockerell, 1904",Ohakune,J.W. Campbell,10/01/1920,10/01/1920,10,1,January,1920,10/January/1920,10/01/1920,B.J. Donovan,Pin,NZAC,no_data
NZAC04096229,NZAC04096229,Hymenoptera,Colletidae,Leioproctus boltoni,Leioproctus boltoni,"Leioproctus (Leioproctus) boltoni Cockerell, 1904","Port Hills, Puke Atua Bush",E.S. Gourlay,5/02/1920,5/02/1920,5,2,February,1920,5/February/1920,5/02/1920,B.J. Donovan,Pin,NZAC,no_data
NZAC04083914,NZAC04083914,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Nelson,A. Philpott,17/10/1921,17/10/1921,17,10,October,1921,17/October/1921,17/10/1921,,Pin,NZAC,no_data
NZAC04096175,NZAC04096175,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,A. Philpott,9/02/1921,9/02/1921,9,2,February,1921,9/February/1921,9/02/1921,,Pin,NZAC,no_data
NZAC04096170,NZAC04096170,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,A. Philpott,9/02/1921,9/02/1921,9,2,February,1921,9/February/1921,9/02/1921,,Pin,NZAC,no_data
NZAC04083947,NZAC04083947,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,A. Philpott,22/10/1921,22/10/1921,22,10,October,1921,22/October/1921,22/10/1921,,Pin,NZAC,no_data
NZAC04096466,NZAC04096466,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Governers Bay,Japley (?),10.09.1921,10.09.21,10,9,September,1921,10/September/1921,10/09/1921,B.J. Donovan,Pin,NZAC,no_data
NZAC04082928,NZAC04082928,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dunedin. Waitati pipeline,G.H.,29.10.1921,11.12.2849,29,10,October,1921,29/October/1921,29/10/1921,B.J. Donovan,Pin,NZAC,no_data
NZAC04096701,NZAC04096701,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Christchurch, Dallington",E.S. Gourlay,13.11.1921,11.12.2040,13,11,November,1921,13/November/1921,13/11/1921,B.J. Donovan,Pin,NZAC,no_data
NZAC04096560,NZAC04096560,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,A. Philpott,09.16.1921,09.16.1921,16,9,September,1921,16/September/1921,16/09/1921,B.J. Donovan,Pin,NZAC,no_data
NZAC04096695,NZAC04096695,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
