Accession No,Barcode,Order,Family,species,species_old,Preferred_Name,locality,collector,date_origional,date_mod,day,month,month_chr,year,date_chr,date,Determiner,Specimen Type,collection,method
NZAC04099063,NZAC04099063,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2576,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070464,NZAC04070464,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2577,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070452,NZAC04070452,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2578,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070264,NZAC04070264,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2579,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04082734,NZAC04082734,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2580,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04100295,NZAC04100295,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2581,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070031,NZAC04070031,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2582,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04092567,NZAC04092567,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2583,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04098915,NZAC04098915,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2584,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04098835,NZAC04098835,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2585,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04098988,NZAC04098988,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2586,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099010,NZAC04099010,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2587,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099001,NZAC04099001,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2588,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099125,NZAC04099125,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2589,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099237,NZAC04099237,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2590,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099106,NZAC04099106,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2591,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099083,NZAC04099083,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2592,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099248,NZAC04099248,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2593,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099176,NZAC04099176,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2594,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099602,NZAC04099602,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2595,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099504,NZAC04099504,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2596,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099309,NZAC04099309,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2597,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099315,NZAC04099315,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2598,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099594,NZAC04099594,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2599,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099475,NZAC04099475,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2600,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099522,NZAC04099522,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2601,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099470,NZAC04099470,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2602,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099532,NZAC04099532,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2603,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099754,NZAC04099754,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2604,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099721,NZAC04099721,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2605,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099718,NZAC04099718,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Te Maraeroa",A.K. Walker,21.02.1976,11.12.2606,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099763,NZAC04099763,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2607,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099430,NZAC04099430,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2608,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099381,NZAC04099381,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2609,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099437,NZAC04099437,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2610,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099418,NZAC04099418,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2611,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099798,NZAC04099798,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2612,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099852,NZAC04099852,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2613,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099805,NZAC04099805,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2614,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099694,NZAC04099694,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2615,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099820,NZAC04099820,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2616,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099997,NZAC04099997,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2617,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099899,NZAC04099899,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2618,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099901,NZAC04099901,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2619,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04098965,NZAC04098965,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2620,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04098949,NZAC04098949,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2621,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04098974,NZAC04098974,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2622,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099958,NZAC04099958,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2623,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099965,NZAC04099965,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker and T.K. Crosby,21.02.1976,11.12.2624,21,2,February,1976,21/February/1976,21/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099884,NZAC04099884,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Little Barrier Island, Caretaker's garden",A.K. Walker ,22.02.1976,11.12.2641,22,2,February,1976,22/February/1976,22/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099896,NZAC04099896,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Little Barrier Island,A.K. Walker and T.K. Crosby,22.02.1976,11.12.2642,22,2,February,1976,22/February/1976,22/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04099874,NZAC04099874,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Bridge Hill, Craigieburn Forest",L.L. Deitz,24.02.1976,11.12.2693,24,2,February,1976,24/February/1976,24/02/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070033,NZAC04070033,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Lake Rotoiti,A.K. Walker,27.12.1976,11.12.2798,27,12,December,1976,27/December/1976,27/12/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04069905,NZAC04069905,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Lake Rotoiti,A.K. Walker,27.12.1976,11.12.2799,27,12,December,1976,27/December/1976,27/12/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070214,NZAC04070214,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Lake Rotoiti,A.K. Walker,27.12.1976,11.12.2800,27,12,December,1976,27/December/1976,27/12/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070227,NZAC04070227,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Lake Rotoiti,A.K. Walker,27.12.1976,11.12.2801,27,12,December,1976,27/December/1976,27/12/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070599,NZAC04070599,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Lake Rotoiti,A.K. Walker,27.12.1976,11.12.2802,27,12,December,1976,27/December/1976,27/12/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070604,NZAC04070604,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Lake Rotoiti,A.K. Walker,27.12.1976,11.12.2803,27,12,December,1976,27/December/1976,27/12/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04070613,NZAC04070613,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Lake Rotoiti,A.K. Walker,27.12.1976,11.12.2804,27,12,December,1976,27/December/1976,27/12/1976,B.J. Donovan,Pin,NZAC,no_data
NZAC04049618,NZAC04049618,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Lake Rotoiti,A.K. Walker,18/01/1976,18/01/1976,18,1,January,1976,18/January/1976,18/01/1976,,Pin,NZAC,no_data
NZAC04100184,NZAC04100184,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Karekare,A.K. Walker,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04100117,NZAC04100117,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Huia Dam,J.S. Dugdale,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04092740,NZAC04092740,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Huia Dam,J.S. Dugdale,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04093856,NZAC04093856,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Huia Dam,J.S. Dugdale,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04070589,NZAC04070589,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Huia Dam,J.S. Dugdale,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04070529,NZAC04070529,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Karekare,A.K. Walker,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04093165,NZAC04093165,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Huia Dam,J.S. Dugdale,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04099570,NZAC04099570,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Karekare,A.K. Walker,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04070600,NZAC04070600,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Huia Dam,J.S. Dugdale,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04070568,NZAC04070568,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Huia Dam,J.S. Dugdale,21/11/1976,21/11/1976,21,11,November,1976,21/November/1976,21/11/1976,,Pin,NZAC,no_data
NZAC04070100,NZAC04070100,Hymenoptera,Colletidae,Leioproctus metallicus,Leioproctus metallicus,"Leioproctus (Leioproctus) metallicus (Smith, 1853)",Okains Bay,F.C. Evans,25/12/1976,25/12/1976,25,12,December,1976,25/December/1976,25/12/1976,,Pin,NZAC,no_data
NZAC04070258,NZAC04070258,Hymenoptera,Colletidae,Leioproctus monticola,Leioproctus monticola,"Leioproctus (Nesocolletes) monticola (Cockerell, 1925)","Mt. McCabe, near Lake Tennyson",A.K. Walker,21/01/1976,21/01/1976,21,1,January,1976,21/January/1976,21/01/1976,,Pin,NZAC,no_data
NZAC04070352,NZAC04070352,Hymenoptera,Colletidae,Leioproctus monticola,Leioproctus monticola,"Leioproctus (Nesocolletes) monticola (Cockerell, 1925)",Mt. McCabe,A.K. Walker,21/01/1976,21/01/1976,21,1,January,1976,21/January/1976,21/01/1976,,Pin,NZAC,no_data
NZAC04105546,NZAC04105546,Hymenoptera,Colletidae,Leioproctus pekanui,Leioproctus pekanui,"Leioproctus (Nesocolletes) pekanui Donovan, 2007","Mt. McCabe, near Lake Tennyson",A.G. Ferguson,21/01/1976,21/01/1976,21,1,January,1976,21/January/1976,21/01/1976,,Pin,NZAC,no_data
NZAC04105010,NZAC04105010,Hymenoptera,Colletidae,Leioproctus pekanui,Leioproctus pekanui,"Leioproctus (Nesocolletes) pekanui Donovan, 2007","Mt. McCabe, near Lake Tennyson",A.K. Walker,21/01/1976,21/01/1976,21,1,January,1976,21/January/1976,21/01/1976,,Pin,NZAC,no_data
NZAC04070105,NZAC04070105,Hymenoptera,Colletidae,Leioproctus vestitus,Leioproctus vestitus,"Leioproctus (Leioproctus) vestitus (Smith, 1876)","Abut Head, E of",B.J. Donovan,6/12/1976,6/12/1976,6,12,December,1976,6/December/1976,6/12/1976,,Pin,NZAC,no_data
NZAC04070465,NZAC04070465,Hymenoptera,Colletidae,Leioproctus waipounamu,"Leioproctus (Leioproctus) waipounamu Donovan, 2007","Leioproctus (Leioproctus) waipounamu Donovan, 2007",DSIR Lincoln,BJ Donovan,30/12/1976,30/12/1976,30,12,December,1976,30/December/1976,30/12/1976,,Pin,NZAC,no_data
NZAC04070460,NZAC04070460,Hymenoptera,Colletidae,Leioproctus waipounamu,Leioproctus waipounamu,"Leioproctus (Leioproctus) waipounamu Donovan, 2007",Lincoln,B.J. Donovan,30/12/1976,30/12/1976,30,12,December,1976,30/December/1976,30/12/1976,,Pin,NZAC,no_data
