genus,species,region,locality,sex,date_origional,day,month_chr,month,year,date,date_chr,ecology,method,collector,collection,value
Hylaeus,Hylaeus relegatus,NN,Dun Mt,f,3-Feb-21,3,February,2,1921,3/02/1921,3/February/1921,"2,500'",sweep,A Philpott,NZAC,1
Leioproctus,Leioproctus imitatus,NN,Mt Dun (Dun Mountain),f,3-Feb-21,3,February,2,1921,3/02/1921,3/February/1921,914m,sweep,A Philpott,NA,1
Hylaeus,Hylaeus capitosus,NN,"Dun Mt, Waimea Co",f,7-Feb-21,7,February,2,1921,7/02/1921,7/February/1921,,no_data,A Philpott,Ent A,1
Leioproctus,Leioproctus boltoni,NN,Dun Mountain,f,7-Feb-21,7,February,2,1921,7/02/1921,7/February/1921,750m,sweep,A Philpott,NZAC,1
Lasioglossum,Lasioglossum maunga,NN,Dun Mt.,m,9-Feb-21,9,February,2,1921,9/02/1921,9/February/1921,2000',sweep,A Philpott,NZAC,1
Lasioglossum,Lasioglossum maunga,NN,Dun Mt.,m,9-Feb-21,9,February,2,1921,9/02/1921,9/February/1921,2000',sweep,A Philpott,NZAC,1
Leioproctus,Leioproctus fulvescens,NN,Dun Mt. 3000 ft,m,9-Feb-21,9,February,2,1921,9/02/1921,9/February/1921,,no_data,A Philpott,Ent A,1
Leioproctus,Leioproctus fulvescens,NN,Dun Mt. 3000 ft,m,9-Feb-21,9,February,2,1921,9/02/1921,9/February/1921,,no_data,A Philpott,Ent A,1
Leioproctus,Leioproctus pekanui,?,Mt Arthur,f,26-Feb-21,26,February,2,1921,26/02/1921,26/February/1921,4500' 1350m,sweep,A Philpott,NZAC,1
Lasioglossum,Lasioglossum sordidum,NN,Nelson,m,16/9/1921 or 9/10/1921,9,October,10,1921,9/10/1921,9/October/1921,,no_data,A Philpott,NA,1
Lasioglossum,Lasioglossum maunga,NN,Dun Mt.,f,22-Oct-21,22,October,10,1921,22/10/1921,22/October/1921,3000',sweep,A Philpott,NZAC,1
Hylaeus,Hylaeus agilis,NN,Nelson,f,8-Dec-21,8,December,12,1921,8/12/1921,8/December/1921,,no_data,A Philpott,Ent A,1
Leioproctus,Leioproctus fulvescens,NN,"Wallace Co, Dun Mt",f,9-Dec-21,9,December,12,1921,9/12/1921,9/December/1921,3000',sweep,A Philpott,Ent A,1
Lasioglossum,Lasioglossum sordidum,NN,Aniseed Valley,m,23-Mar-22,23,March,3,1922,23/03/1922,23/March/1922,,no_data,A Philpott,LC,1
Lasioglossum,Lasioglossum maunga,NN,Dun Mt.,f,27-Oct-22,27,October,10,1922,27/10/1922,27/October/1922,3000',sweep,A Philpott,NZAC,1
Leioproctus,Leioproctus huakiwi,NN,Nelson,m,1-Dec-22,1,December,12,1922,1/12/1922,1/December/1922,,no_data,A Philpott,yellow,1
Lasioglossum,Lasioglossum sordidum,NN,Aniseed Valley,m,18-Feb-23,18,February,2,1923,18/02/1923,18/February/1923,,no_data,A Philpott,LC,1
Leioproctus,Leioproctus pango,NN,"Aniseed Valley, Nelson",m,1-4/12/1923,4,December,12,1923,4/12/1923,4/December/1923,,no_data,A Philpott,L. Uni,1
Leioproctus,Leioproctus pango,NN,"Aniseed Valley, Nelson",f,1-4/12/1923,4,December,12,1923,4/12/1923,4/December/1923,,no_data,A Philpott,L. Uni,1
Leioproctus,Leioproctus pango,NN,"Aniseed Valley, Nelson",f,1-4/12/1923,4,December,12,1923,4/12/1923,4/December/1923,,no_data,A Philpott,L. Uni,1
Lasioglossum,Lasioglossum maunga,NN,Upper Maitai,m,10-Feb-24,10,February,2,1924,10/02/1924,10/February/1924,,no_data,A Philpott,NZAC,1
Lasioglossum,Lasioglossum maunga,NN,Upper Maitai,f,10-Feb-24,10,February,2,1924,10/02/1924,10/February/1924,,no_data,A Philpott,NZAC,1
Hylaeus,Hylaeus asperithorax,,Mt Cook,m,4-Jan-29,4,January,1,1929,4/01/1929,4/January/1929,,no_data,A Philpott,NZAC,1
Leioproctus,Leioproctus monticola,MK,Mt Cook,f,6-Jan-29,6,January,1,1929,6/01/1929,6/January/1929,,no_data,A Philpott,NZAC,1
Leioproctus,Leioproctus monticola,MK,Mt Cook,f,6-Jan-29,6,January,1,1929,6/01/1929,6/January/1929,,no_data,A Philpott,NZAC,1
Hylaeus,Hylaeus perhumilis,NC,Port Robinson,f,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,Second floor window,sweep,A Smith,BJD,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
Lasioglossum,Lasioglossum sordidum,NC,"Port Robinson, 2nd floor window",m,6-Mar-90,6,March,3,1990,6/03/1990,6/March/1990,,no_data,A Smith,NA,1
