genus,species,region,locality,sex,date_origional,day,month_chr,month,year,date,date_chr,ecology,method,collector,collection,value
Leioproctus,Leioproctus vestitus,CO,"Ida Valley, Andersons farm",f,9-Dec-70,9,December,12,1970,9/12/1970,9/December/1970,On ground,sweep,BJ Donovan,BJD,1
Bombus,Bombus subterraneus,MK,Mackenzie Basin,f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Lupinus sp.,sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,MB,"Marlborough Co, Blenheim",m,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,,no_data,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,CO,"Vincent Co, Lindis Gorge",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Bulbinella sp. (wasps on rock),sweep,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,CO,"Vincent Co, Lindis Gorge",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Bulbinella sp. (wasps on rock),sweep,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,CO,"Vincent Co, Lindis Gorge",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Bulbinella sp. (wasps on rock),sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Cromwell, 12 mi N",m,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,CO,"Cromwell, 12 mi N",m,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,CO,"Cromwell, 12 mi N",m,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,CO,"Cromwell, 12 mi N",m,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,CO,"Cromwell, 12 mi N",m,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,CO,"Cromwell, 12 mi N",m,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,CO,"Vincent Co, 19km N Cromwell",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus metallicus,CO,"Cromwell, 12 mi N",m,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus pango,CO,"Lindis Pass, 12 mi S",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Carmichaelia kirkii,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus pango,CO,"Lindis Pass, 12 mi S",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Carmichaelia kirkii,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus pango,CO,"Lindis Pass, 12 mi S",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Carmichaelia kirkii,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus pango,CO,"Lindis Pass, 12 mi S",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Carmichaelia kirkii,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus pango,CO,"Lindis Pass, 12 mi S",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Carmichaelia kirkii,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus pango,CO,"Lindis Pass, 12 mi S",f,10-Dec-70,10,December,12,1970,10/12/1970,10/December/1970,Carmichaelia kirkii,sweep,BJ Donovan,Lincoln,1
Lasioglossum,Lasioglossum sordidum,SD,8®km N Picton MB,f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,Manuka,sweep,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,SD,Marlborough Co 8®km N Picton,m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"Manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,SD,Marlborough Co 8®km N Picton,m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"Manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,SD,Marlborough Co 8®km N Picton,m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"Manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,SD,Marlborough Co 8®km N Picton,m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"Manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus boltoni,,Picton 5 min N,m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,On manuka Leptospermum scoparium,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Marlborough Co, 8km N Picton",f,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,NA,1
Leioproctus,Leioproctus imitatus,SD,"Picton, 5 mi N",m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,SD,"Picton, 5 mi N",m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,SD,"Picton, 5 mi N",m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,SD,"Picton, 5 mi N",m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus imitatus,SD,"Picton, 5 mi N",m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus pango,SD,"Picton, 5 mi N",m,18-Dec-70,18,December,12,1970,18/12/1970,18/December/1970,Leptospermum scoparium,sweep,BJ Donovan,Lincoln,1
Hylaeus,Hylaeus asperithorax,TO,Taumarunui,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,On Lobelia sp.,sweep,BJ Donovan,Ent L,1
Hylaeus,Hylaeus asperithorax,TO,Taumarunui,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,On Lobelia sp.,sweep,BJ Donovan,Ent L,1
Hylaeus,Hylaeus asperithorax,TO,Taumarunui,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,On Lobelia sp.,sweep,BJ Donovan,Ent L,1
Hylaeus,Hylaeus asperithorax,TO,Taumarunui,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,On Lobelia sp.,sweep,BJ Donovan,Ent L,1
Lasioglossum,Lasioglossum mataroa,CO,Earnscleugh,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Melilotus alba,sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum mataroa,CO,Earnscleugh,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Melilotus alba,sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum mataroa,CO,Earnscleugh,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Melilotus alba,sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum mataroa,CO,Earnscleugh,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Melilotus alba,sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum mataroa,CO,Earnscleugh,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Melilotus alba,sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,CO,"Vincent Co, SI Earnscleugh",m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Hypericum sp,sweep,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,CO,Earnscleugh,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,"Hypericum sp, next to alkali bee nest site",sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,CO,Earnscleugh,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,"Hypericum sp, next to alkali bee nest site",sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,CO,Earnscleugh,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,"Hypericum sp, next to alkali bee nest site",sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,CO,Earnscleugh,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,"Hypericum sp, next to alkali bee nest site",sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,CO,Earnscleugh,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,"Hypericum sp, next to alkali bee nest site",sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,CO,Earnscleugh,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,"Hypericum sp, next to alkali bee nest site",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus boltoni,SD,"Picton, 5 min N",f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,"On manuka, Leptospermum scoparium",sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,m,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus vestitus,MC,Lake Heron,f,19-Dec-70,19,December,12,1970,19/12/1970,19/December/1970,Carmichaelia,sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,TO,"Taumarunui Co, Mahoe Rd, Manunui",f,21-Dec-70,21,December,12,1970,21/12/1970,21/December/1970,,no_data,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,TO,"Whangaroa Co, South edge Lake Taupo",f,21-Dec-70,21,December,12,1970,21/12/1970,21/December/1970,,no_data,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,TO,"Whangaroa Co, South edge Lake Taupo",m,21-Dec-70,21,December,12,1970,21/12/1970,21/December/1970,,no_data,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,TO,"Whangaroa Co, South edge Lake Taupo",m,21-Dec-70,21,December,12,1970,21/12/1970,21/December/1970,,no_data,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,TO,"Whangaroa Co, South edge Lake Taupo",m,21-Dec-70,21,December,12,1970,21/12/1970,21/December/1970,,no_data,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,TO,"Taumarunui Co, Mahoe Rd, Manunui",m,21-Dec-70,21,December,12,1970,21/12/1970,21/December/1970,Alkali bee nest site,sweep,BJ Donovan,NA,1
Lasioglossum,Lasioglossum sordidum,TO,"Whangaroa Co, South edge Lake Taupo",f,27-Dec-70,27,December,12,1970,27/12/1970,27/December/1970,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus paahaumaa,TO,Piriaka,f,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,Piriaka,f,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,Piriaka,f,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,Piriaka,f,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,Piriaka,f,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,Piriaka,f,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,"Taumaranui Co, Piriaka",m,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,"Taumaranui Co, Piriaka",m,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,"Taumaranui Co, Piriaka",m,28-Dec-70,28,December,12,1970,28/12/1970,28/December/1970,"On yarrow, Achillea millefolium",sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,"Cook Co, Waituhi Hill",m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,Bees over buttercup,sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,"Cook Co, Waituhi Hill",m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,Bees over buttercup,sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus paahaumaa,TO,"Cook Co, Waituhi Hill",m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,Bees over buttercup,sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus runga,TO,Desert Road,m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus runga,TO,Desert Road,m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus runga,TO,Desert Road,m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus runga,TO,Desert Road,m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus runga,TO,Desert Road,m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus runga,TO,Desert Road,m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus runga,TO,Desert Road,m,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus runga,TO,Desert Road,f,30-Dec-70,30,December,12,1970,30/12/1970,30/December/1970,,no_data,BJ Donovan,NA,1
Nomia,Nomia melanderi,MB,"Spring Creek, Wratts farm",f,1-Jan-71,1,January,1,1971,1/01/1971,1/January/1971,Dead on bed surface,sweep,BJ Donovan,BJD,1
Nomia,Nomia melanderi,MC,"Lincoln, DSIR",m,14-Jan-71,14,January,1,1971,14/01/1971,14/January/1971,Dead near breeding site,sweep,BJ Donovan,BJD,1
Lasioglossum,Lasioglossum sordidum,SC,Waimate turn off,m,18-Jan-71,18,January,1,1971,18/01/1971,18/January/1971,,no_data,BJ Donovan,NA,1
Leioproctus,Leioproctus fulvescens,DN,"Waitaki Co, Moeraki Beach",f,18-Jan-71,18,January,1,1971,18/01/1971,18/January/1971,On Cotula coronopifolia,sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus fulvescens,DN,"Waitaki Co, Moeraki Beach",f,18-Jan-71,18,January,1,1971,18/01/1971,18/January/1971,On Cotula coronopifolia,sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus fulvescens,DN,"Waitaki Co, Moeraki Beach",f,18-Jan-71,18,January,1,1971,18/01/1971,18/January/1971,On Cotula coronopifolia,sweep,BJ Donovan,Ent L,1
Lasioglossum,Lasioglossum maunga,NC,Arthur's Pass,m,22-Jan-71,22,January,1,1971,22/01/1971,22/January/1971,Hebe sp.,sweep,BJ Donovan,BJD,1
Leioproctus,Leioproctus monticola,NC,"Tawera Co, Arthur's Pass",m,22-Jan-71,22,January,1,1971,22/01/1971,22/January/1971,Hebe sp.,sweep,BJ Donovan,LNPP,1
Leioproctus,Leioproctus monticola,NC,"Tawera Co, Arthur's Pass",m,22-Jan-71,22,January,1,1971,22/01/1971,22/January/1971,Hebe sp.,sweep,BJ Donovan,LNPP,1
Leioproctus,Leioproctus monticola,NC,"Tawera Co, Arthur's Pass",f,22-Jan-71,22,January,1,1971,22/01/1971,22/January/1971,Hebe sp.,sweep,BJ Donovan,LNPP,1
Leioproctus,Leioproctus vestitus,NC,Arthurs Pass,f,22-Jan-71,22,January,1,1971,22/01/1971,22/January/1971,Hebe sp.,sweep,BJ Donovan,BJD,1
Hylaeus,Hylaeus capitosus,WD,"Whataroa, Westlands Co",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,PO window,sweep,BJ Donovan,Ent L,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",m,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",m,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus huakiwi,WD,"Westland Co., 5 min S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On hebe sp.,sweep,BJ Donovan,Lincoln,1
Leioproctus,Leioproctus monticola,WD,"Westland Co, a15 mi S Franz Josef",f,23-Jan-71,23,January,1,1971,23/01/1971,23/January/1971,On Hebe sp. ,sweep,BJ Donovan,LNPP,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
Bombus,Bombus ruderatus,MC,Lincoln 5km S,m,1-Mar-71,1,March,3,1971,1/03/1971,1/March/1971,Nest in farm shed,sweep,BJ Donovan,BJD,1
